Number,Name,,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,Ability 1,Ability 2,Ability 3,Quick Guard,Wide Guard,Follow Me,Rage Powder,Ally Switch,Aurora Veil,Thunder Wave,Nuzzle,Will-o-Wisp,Snarl,Struggle Bug,Breaking Swipe,Haze,Tailwind,Trick Room,Electroweb,Icy Wind,Bulldoze,Helping Hand,Reflect,Light Screen,Sucker Punch,Fake Out,Aqua Jet,Shadow Sneak,Vacuum Wave,Quick Attack,E-Speed,Bullet Punch,Ice Shard,Mach Punch,Accelerock,Water Shuriken,Sleep Powder,Spore,Yawn,Taunt,Points
1,Bulbasaur,,Grass,Poison,45,49,49,65,65,45,318,Overgrow,,Chlorophyll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
2,Ivysaur,,Grass,Poison,60,62,63,80,80,60,405,Overgrow,,Chlorophyll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
3,Venusaur,,Grass,Poison,80,82,83,100,100,80,525,Overgrow,,Chlorophyll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40
3-m,Mega Venusaur,,Grass,Poison,80,100,123,122,120,80,625,Thick Fat,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
4,Charmander,,Fire,,39,52,43,60,50,65,309,Blaze,,Solar Power,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
5,Charmeleon,,Fire,,58,64,58,80,65,80,405,Blaze,,Solar Power,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6,Charizard,,Fire,Flying,78,84,78,109,85,100,534,Blaze,,Solar Power,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
6-mx,Mega Charizard X,,Fire,Dragon,78,130,111,130,85,100,634,Tough Claws,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
6-my,Mega Charizard Y,,Fire,Flying,78,104,78,159,115,100,634,Drought,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
7,Squirtle,,Water,,44,48,65,50,64,43,314,Torrent,,Rain Dish,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5
